Name,Measurements,Date of Birth,Hair color,Height,Weight
Stacy Stash,,,,,
Stacy Valentine,34DD-24-34,8/9/1970,Blonde,5-4,No data
Stan Randall,,,,,
Star Armani,,,,5-1,121
Star Blu,,,,,
Star Chandler,,,,,
Star E Knight,36D-25-34,6/27/1978,Brown,5-4,110
Star Green,,3/8/1980,,,
Star Rios,34C-25-28,,,5-9,99
Starla Fox,,,,,
Starla Knight,34A-25-35,,,5-11,121
Starla Sterling,34DD-26-34,3/21/1986,Blonde,5-1,112
Starr Blu,No data,No data,Blonde,No data,No data
Starr Rise,,,,,
Starri Knight,,,,,
Stefaney Lewis,,,,,
Stefani Morgan,34B-24-34,10/31/1985,Blonde,5-10,114
Stefania Bruni,No data,7/24/1978,Black/Blonde,No data,No data
Stefania Mafra,,4/4/1989,,,
Stefanie Renee,34C-21-32,6/23/1984,Red,5-7,101
Stefanny Gold,,,,,
Stefany Amore,,,,,
Stefany Mays,,,,,
Steffi Kraft,,,,,
Steffie,No data,No data,No data,No data,No data
Stella Baby,32D-24-36,5/13/1983,,5-1,106
Stella Banxxx,,1/21/1994,,,
Stella Cox,,11/7/1990,,,
Stella Daniels,,,,,
Stella Delcroix,,8/16/1985,,,
Stella Dibella,,,,,
Stella Ferarri,,,,,
Stella Hot,,,,,
Stella Johanssen,36D-28-38,4/15/1989,,5-5,139
Stella Larocca,,,,,
Stella Marie,,,,,
Stella May,,,,,
Stella Morandi,,,,,
Stella Rose,36C-28-36,5/28/1964,,5-5,135
Stella Styles,,,,,
Stella Virgin,,2/21/1960,,,
Stephan Wolfe,,,,,
Stephani Moretti,,,,,
Stephani Weaver,,,,,
Stephania Bruni,,7/24/1978,,,
Stephanie Alexis,,,,,
Stephanie Bews,,,,,
Stephanie Blaze,34D-24-36,3/10/1986,,5-9,126
Stephanie Cane,34B,No data,Brown,5-2,99
Stephanie Eve,,,,,
Stephanie Flickinger,,,,,
Stephanie Glasson,,,,,
Stephanie Heinrich,,,,,
Stephanie Kane,,11/11/1986,,,
Stephanie Larimore,,,,,
Stephanie Lopez,,,,,
Stephanie Nicole,,12/7/1977,,,
Stephanie Page,,12/27/1965,,,
Stephanie Rage,,10/24/1964,,,
Stephanie Richards,,,,,
Stephanie Sage,,9/10/1985,,,
Stephanie Sierra,32B-24-34,10/31/1987,,5-4,99
Stephanie Stalls,36DD-26-36,2/5/1974,,5-1,123
Stephanie Swift,34B-25-34,2/7/1972,Brown,5-4,121
Stephanie Swing,,,,,
Stephanie Tripp,No data,No data,Brown,5-4,No data
Stephanie Wylde,34D-26-34,9/20/1969,Black,5-5,114
Stephany Stell,,9/12/1978,,,
Stephie Stiles,,,,,
Stephie Thai,No data,No data,No data,No data,No data
Sterling Ward,,,,,
Steve Austin,,,,,
Steve Chase,,,,,
Steve Rogers,,,,,
Steve Ziplow,,,,,
Steven Garcia,,,,,
Steven Sweat,,,,,
Stevie Hart,,,,,
Stevie Jean,,,,,
Stevie Reyes,,,,,
Stevie Shae,,10/23/1992,,,
Stevie,38DD-26-32,10/27/1973,Brown,5-5,No data
Stiv Gators,,,,,
Stony Oneil,,,,,
Stormie White,,,,,
Stormy Daniels,36DD-24-36,3/17/1979,Blonde,5-7,125
Stormy Dream,,,,,
Stormy Lynne,,6/5/1967,,,
Stormy Rose,,4/29/1989,,5-4,115
Stoya,,6/15/1986,,,
Stracy Stone,,,,,
Straw Berry,,,,,
Strokahontas,34A-28-38,1/1/1988,,5-5,141
Stunning Summer,,,,,
Subil Arch,,1/16/1990,,,
Sue Ann,,1/10/1955,,,
Sue Diamond,34B-24-35,7/22/1976,Blonde,5-6,110
Sue Pink,,,,,
Suelen Monteiro,,,,,
Suellen Machado,,,,,
Suga Brown,,,,,
Sugar Baby,,,,,
Sugar Chanelle,,,,,
Sugar Kane,36C-24-36,3/29/1983,Blonde,5-5,129
Sugar Love,,,,,
Suhaila Hard,,,,,
Summer Altice,,,,,
Summer Angel,,5/29/1987,,,
Summer Ann,,8/9/1979,,,
Summer Bailey,,,,,
Summer Blue,,11/6/1964,,,
Summer Breeze,,7/17/1989,,,
Summer Brielle Taylor,,2/7/1987,,,
Summer Carter,,,,,
Summer Collins,,,,,
Summer Cruz,,,,,
Summer Cummings,36FF-24-34,3/4/1968,Brown,5-5,114
Summer Daniels,,,,,
Summer Day,,3/19/1994,,,
Summer Eve,,,,,
Summer Fields,,,,,
Summer Fox,,,,,
Summer Haze,40DD-25-37,7/9/1972,,5-7,128
Summer Knight,36DD-24-36,2/26/1961,,5-7,
Summer Lashay,44JJ-32-38,7/5/1979,,5-1,181
Summer Layne,,,,,
Summer Lee,,12/6/1980,,,
Summer Leigh,,12/6/1980,,,
Summer Long,,11/21/1987,,,
Summer Loveness,,,,,
Summer Luv,34B-24-34,2/25/1983,Brown,5-6,110
Summer Lynn,36D-26-36,5/7/1982,Blonde,5-4,105
Summer Meadows,,,,5-3,123
Summer More,,,,,
Summer Nite,,,,,
Summer Paige,32A-26-32,5/24/1983,,5-9,130
Summer Rae,,,,,
Summer Raine,,,,,
Summer Rose,,1/23/1966,,,
Summer Sinn,,,,,
Summer Solstice,,,,,
Summer Star,,1/23/1989,,,
Summer Storm,34-24-34,4/23/1974,Blonde,5-2,110
Summer Sweet,No data,No data,Blonde,No data,No data
Summer Tyme,34A-26-32,,,5-11,
Summer Verano,,,,,
Summer Verona,,,,,
Summeran Winters,,,,,
Sung Hi Lee,,,,,
Sunni Mayweather,32C-25-33,1/28/1989,,5-11,121
Sunnie Daniels,,,,,
Sunny Blaze,,,,,
Sunny Blue,,,,,
Sunny Dae,,,,,
Sunny Daniels,,,,,
Sunny Day,No data,10/29/1981,Brown/Blonde,No data,No data
Sunny Dee,34G-30-36,3/15/1985,,5-1,139
Sunny Diamond,34D-27-38,3/9/1988,,5-0,115
Sunny Jay,34A-25-36,5/9/1985,Brown,5-3,110
Sunny Lane,34C-24-34,3/2/1980,Blonde,5-1,110
Sunny Lee,,,,,
Sunny Leone,34B-24-34,5/13/1981,Brown,5-4,110
Sunny Marie,,7/7/1978,,,
Sunny McKay,No data,5/6/1969,Blonde,No data,No data
Sunny Rain,,7/2/1979,,,
Sunny Ray,,2/22/1957,,5-5,165
Sunny Rise,,6/15/1988,,,
Sunny Shores,,,,,
Sunny Skies,35B-24-36,5/31/1986,,5-6,117
Sunrise Adams,36DD-24-36,9/14/1982,Blonde,5-7,121
Sunset Diamond,,9/17/1988,,,
Sunset Thomas,36D-24-36,2/19/1972,Blonde/Red,5-8,114
Sunshine Rivers,,,,,
Sunshine Seiber,,,,,
Sunshine,No data,10/9/1985,Black,5-9,125
Sunshyne Starr,,8/10/1989,,,
Susan Ayn,,10/11/1991,,,
Susan Carter,34D-25-37,12/22/1979,Blonde,5-7,No data
Susan Evans,,,,,
Susan Hart,,6/25/1964,,,
Susan Lang,,,,,
Susan Nero,,7/6/1959,,,
Susan Pearl,,5/23/1974,,,
Susan Snow,,3/4/1985,,,
Susan Vegas,,5/7/1967,,,
Susan Weiss,,,,,
Susana Abril,,,,,
Susana Alcala,,,,,
Susana Degarcia,,,,,
Susana Melo,,6/11/1991,,,
Susana Spears,35C-22-34,4/29/1982,Brown,5-8,123
Susane,36F-29-39,8/9/1978,Blonde/Light Brown,5-9,129
Susanna Spears,,,,,
Susanna White,34B-25-37,1/10/1986,,5-7,132
Susanne Brend,34C-25-36,8/3/1984,Black/Blonde,5-6,118
Susanne Storm,,,,,
Susi Medusa Gottardi,,,,,
Susi Medvsa,,,,,
Susie Diamond,,8/8/1984,,,
Susie Ink,,,,,
Susie Sorrento,,6/29/1982,,,
Susie Wilden,44G-30-40,11/5/1978,,5-7,150
Susy Cat,,1/1/1975,,,
Susy Gala,,11/11/1993,,,
Suzan Hot,,,,,
Suzan Nielsen,,7/20/1980,,,
Suzan Strong,,10/31/1979,,,
Suzan Wenera,,6/15/1986,,,
Suzana Birch,,,,,
Suzana Marusincova,,,,,
Suzana Rhios,,,,,
Suzana Scoot,34C-25-35,9/26/1979,,5-0,121
Suzana Scott,,,,,
Suzanna Holmes,,,,,
Suzanna Scott,,,,,
Suzanna Spring,,,,,
Suzanne Kelly,,2/17/1986,,,
Suzanne Stokes,,,,,
Suzanne Winters,,,,,
Suzany Petrovyck,,,,,
Suzette Spencer,,,,,
Suzi Black,,,,,
Suzi Nero,,,,,
Suzi Simpson,,,,,
Suzi Suzuki,34C-24-36,7/3/1976,Black,5-4,110
Suzie Best,,,,,
Suzie Carina,34B-23-34,11/28/1983,Blonde,5-4,114
Suzie Diamond,34B-26-37,8/8/1984,Black,5-11,121
Suzie Wild,,,,,
Suzumi Wilder,46DDD-42-44,,,5-10,190
Suzy Anderson,34C-25-36,8/16/1975,,5-2,126
Suzy Black,32B-23-34,10/25/1985,,5-4,108
Suzy Dark,,8/27/1980,,,
Suzy Fox,,,,,
Suzy Mandel,,,,,
Suzy May,,,,,
Suzy Spark,,,,,
Suzy Summers,,,,,
Suzy Sweet,35D-24-35,1/11/1977,Brown/Blonde,5-6,107
Svetlana Kozlov,,,,,
Svetlana Morich,,3/30/1995,,,
Sweet Cat,,8/1/1992,,,
Sweet Claudia,,11/19/1986,,,
Sweet Essence,36DD-25-37,4/4/1985,,5-7,137
Sweet Jane,,11/12/1978,,,
Sweet Lana,,,,,
Sweet Nicky,,,,,
Sweet Sindy,,9/14/1992,,,
Sweet Sinsacion,,,,,
Sweet Stuff,,,,,
Sweet Tee,,,,,
Sweet Teresa,,10/1/1981,,,
Sweetie Nice,,,,,
Sweetpea Hollywood,,,,,
Syanne Simmons,,,,,
Sybelle Watson,32B-24-32,7/23/1987,,5-9,119
Sybil Hawthorne,36D-26-36,2/12/1981,,5-6,115
Sybil Stallone,,,,,
Syd Blakovich,,5/22/1981,,,
Syd Mischief,,,,,
Sydnee Capri,34B-25-39,10/5/1985,Black,5-8,129
Sydnee Steele,36D-24-34,9/23/1968,Brown,5-7,114
Sydnee Taylor,,2/5/1993,,,
Sydnee Vicious,,,,,
Sydney Cole,,11/2/1995,,,
Sydney Cross,32A-24-34,3/21/1992,,5-2,115
Sydney Leathers,,9/23/1989,,,
Sydney Moon,34D-24-33,1/5/1975,Brown/Blonde,5-2,110
Sydney Simona,40F-24-34,,,5-9,115
Sydney Sinn,,,,,
Sydney Thomas,34B-24-34,,,5-6,121
Sydni Lane,34D-27-34,,,5-3,287
Sye Rena,,,,,
Sylvana Rous,36D-25-36,2/18/1984,,5-10,117
Sylvi Black,,,,,
Sylvia Blond,,,,,
Sylvia Bond,,,,,
Sylvia Diamond,,,,,
Sylvia Lee,,,,,
Sylvia Sopia,,,,,
Sylvie Castro,,5/9/1982,,5-4,108
Sylvie Sinner,,,,,
Sylvie Taylor,34A-24-36,12/16/1980,Blonde,5-9,No data
Syndi Fox,32A-31-35,4/20/1989,,,
Syndy Love,,,,,
Syren Demer,,6/24/1969,,,
Syren Sexton,,4/19/1986,,,
Syren Smiles,,,,,
Syren,36C-28-35,5/21/1971,Black,5-6,114
Syvally,,,,,
Syvette Wimberly,No data,12/21/1981,Blonde,No data,No data
Syvette,,12/21/1981,,,
Szilvia Lauren,34B-24-34,8/17/1973,Brown/Red,5-7,No data
Szofy Soft,,,,,
Tabatha Cash,38D-23-33,12/27/1973,Black,5-7,No data
Tabatha Jordan,,,,,
Tabatha Tucker,,12/29/1980,,,
Tabetha,,,,,
Tabitha Ann,,,,,
Tabitha Banks,,,,,
Tabitha Blue,,,,,
Tabitha Fox,No data,12/1/1970,Red,5-3,114
Tabitha James,,4/15/1980,,,
Tabitha Stern,34B-24-36,1/24/1976,Blonde,5-6,123
Tabitha Stevens,34DD-23-34,2/16/1970,Brown/Blonde,5-5,105
Tabitha Tan,,,,,
Tabitha Taylor,34DD-24-34,8/5/1972,Brown,5-6,99
Tacori Blu,,,,,
Taffy Devine,,,,,
Tahlia Jordan,,,,,
Tahlia Tate,,,,,
Tahnee Taylor,,11/12/1964,,,
Tai Angel,,,,,
Tai Ellis,36C-26-32,12/7/1969,,5-0,126
Tai Lavay,,,,,
Tai Lee Liam,,,,,
Tai Luv,,,,,
Taia Tyler,34D-28-34,10/7/1981,Black/Brown/Blonde,5-3,110
Taija Rae,38-24-37,1962-??-??,Brown,5-5,No data
Tailor James,,,,,
Taisa Banx,,,,,
Taissia Shanti,,11/9/1992,,,
Taj Malai,,,,,
Tali Dova,,4/3/1994,,,
Talia Mint,,11/26/1989,,,
Talia Monet,,,,,
Talia Palmer,,,,,
Talia Shepard,,,,,
Talia Tyler,,,,,
Talisa Brown,40DDD-43-47,,,5-0,232
Talita Brandao,32C-24-35,9/24/1986,,5-0,119
Talita Del Rio,36D-25-36,,,5-7,128
Tall Goddess,36C-25-36,6/14/1978,Blonde,6-1,140
Talle Dee,,,,,
Tallulah Thorn,36A-27-36,,,5-11,
Tamaki Katori,,,,,
Tamara Enjoy,,5/17/1981,,,
Tamara Grace,,3/27/1989,,,
Tamara Lee,37DD-26-36,7/30/1969,Brown,5-10,No data
Tamara Lemoure,,,,,
Tamara Longley,,10/30/1961,,,
Tamara Noon,32-22-30,9/27/1978,Blonde,5-4,No data
Tamara Russ,,,,,
Tamara Toren,,,,,
Tamara Vasquez,,,,,
Tamara Witmer,,,,,
Tami Fabiana,32C-24-35,3/30/1988,,5-9,110
Tami Lynn,,,,,
Tami Martinelly,,,,,
Tami Monroe,32D-21-30,3/6/1970,Blonde,4-10,90
Tamiry Chiarari,,,,,
Tamiry Chiavari,,,,,
Tammi An,,10/4/1971,,,
Tammi Ann,No data,10/4/1971,Blonde,5-6,112
Tammi Sue,,,,,
Tammie Lee,,,,,
Tammy Lee,,,,,
Tammy Parks,,,,,
Tammy Rose,,11/30/1973,,,
Tammy Tyler,,,,,
Tamra Millan,34B-24-31,2/28/1992,,4-5,110
Tamra Toryn,,,,,
Tania Gomez,32B-24-35,7/17/1989,,5-9,112
Tania K,,,,,
Tania Kiss,,,,,
Tania Ramirez,,,,,
Tania Russof,34C,6/6/1974,Black,5-6,123
Tanita Black,32A-23-35,4/19/1984,,5-4,106
Tanja Teen,33A-23-33,,,5-10,95
Tanja,No data,No data,Brown,No data,No data
Tanner Cruz,36C-28-37,11/27/1990,,5-10,130
Tanner Mayes,,5/31/1989,,,
Tanya Best,,,,,
Tanya Cocks,32D-25-35,,,5-11,110
Tanya Cox,,,,,
Tanya Danielle,36D-23-35,12/3/1976,Blonde,5-5,114
Tanya Dewgood,,,,,
Tanya Evans,,,,,
Tanya Fox,,,,,
Tanya Foxx,No data,10/1/1965,Brown/Blonde,No data,No data
Tanya Hansen,38EE,9/11/1973,Blonde,5-6,No data
Tanya Hardin,36C-28-36,No data,Brown,5-8,149
Tanya Hyde,,9/7/1977,,,
Tanya James,34C-25-35,10/27/1983,Blonde,5-11,129
Tanya Lixx,,,,,
Tanya Pearl,34A-23-34,2/5/1986,Brown,5-3,No data
Tanya Sin,,,,,
Tanya Storm,,,,,
Tanya Tate,,3/31/1979,,,
Tanya Taylor,No data,No data,Brown,No data,No data
Tanya Tung,38DD-42-46,9/11/1970,,5-1,181
Tanya Woods,,,,,
Tao Jonz,,,,,
Tara Aire,,2/8/1958,,,
Tara Baxter,,,,,
Tara Bentley,,,,,
Tara Blows,34DD-26-36,10/23/1985,,5-10,128
Tara Colvin,,,,,
Tara Foster,,12/23/1970,,,
Tara Fox,,6/13/1990,,,
Tara Holiday,,5/11/1967,,,
Tara Indiana,,,,,
Tara Kali,,,,,
Tara Lee,,11/22/1965,,,
Tara Lynn Foxx,,6/13/1990,,,
Tara Marie,34C-24-34,12/14/1991,,5-2,104
Tara Monroe,34DD-22-32,4/25/1975,Red,4-11,105
Tara Moon,,,,,
Tara Moore,,,,,
Tara Morgan,,10/5/1991,,,
Tara Pink,,5/11/1987,,,
Tara Radovic,No data,No data,No data,No data,No data
Tara Red,,,,,
Tara Star,,,,,
Tara Tattoo,,,,,
Tara Tease,,,,,
Tara Timmings,,,,,
Tara Wild,,9/24/1963,,,
Taren Brittany,,,,,
Taren Hayes,,5/26/1982,,5-7,135
Taren Steele,34B-26-34,????-09-02,Blonde,5-2,110
Tarney Halle,32D-25-32,,,5-7,115
Tarra Marie,,,,,
Tarra White,34B-24-35,11/19/1987,Brown/Dirty Blonde,5-7,110
Taryn Kemp,32B-24-34,,,5-1,110
Taryn Thomas,34B-27-32,5/27/1983,Black/Brown,5-4,107
Tasha Holz,34H-26-37,9/19/1991,,5-2,126
Tasha Hunter,36DD-26-36,4/4/1975,Brown,5-10,140
Tasha Knight,36C-24-36,,,5-0,130
Tasha Lynn,34B-25-36,4/15/1970,,5-1,106
Tasha Reign,35D-24-34,1/15/1989,,5-9,110
Tasha Turner,,,,,
Tasha Voux,,,,,
Tati Russo,36B-26-36,,,5-5,121
Tatiana Blair,,,,4-4,121
Tatiana Brown,,9/1/1988,,,
Tatiana Hope,34D-27-36,,,5-4,126
Tatiana Knight,,,,,
Tatiana Kushnev,,5/20/1986,,,
Tatiana Mark,,,,,
Tatiana Stone,,,,,
Tatiana Zdrok,,,,,
Tatianna Stone,36DD-24-36,No data,Blonde,5-9,129
Tatianna Taylor,,,,,
Tatiyana Foxx,,1/11/1991,,,
Tatum Bailey,34B-26-34,3/4/1986,,5-4,126
Tatum Onassis,,,,,
Tatum Pierce,,2/4/1984,,,
Tatum Reed,,8/8/1980,,5-7,130
Tatum Woods,32B-24-34,9/23/1989,,5-3,115
Tavalia Griffin,35-23-35,6/7/1975,Brown,5-3,110
Tavia Spizer,,,,,
Tawney Brandt,,1/1/1980,,,
Tawni Lyons,,,,,
Tawni Ryden,32B-24-32,7/22/1985,,5-7,121
Tawny Bree,,,,,
Tawny Brie,,1/1/1980,,,
Tawny Bryant,,1/1/1980,,,
Tawny Ocean,,,,,
Tawny Peaks,38DDD-26-36,5/10/1970,,4-8,121
Tawny Robers,,,,,
Tawny Roberts,32B-21-33,3/18/1979,Blonde,5-7,110
Tay Dash,,,,,
Taya Cruz,34B,No data,Brown,5-3,92
Taya Parker,,,,,
Taya Silvers,,,,,
Taya Slivers,,,,,
Taya Talise,,,,,
Tayla Rox,,,,,
Taylan Kiss,32B-24-33,,,5-2,121
Tayler James,,,,,
Taylir Scott,,,,,
Taylor Ann,No data,No data,Dirty Blonde,No data,No data
Taylor Ash,34D-29-36,9/1/1980,Brown,5-4,125
Taylor Barnes,,,,,
Taylor Bell,,11/29/1981,,,
Taylor Bliss,32A-23-34,10/31/1982,,5-7,110
Taylor Chanel,32D-24-33,12/19/1985,,5-6,121
Taylor Dane,,,,,
Taylor Dare,,,,,
Taylor Daye,,,,,
Taylor Dean,,,,,
Taylor Dennis,,,,,
Taylor Gianni,36C-25-36,,,5-4,
Taylor Hayes,34DD-22-34,1/14/1975,Brown,5-5,105
Taylor Hill,36DD-26-34,1/31/1977,Brown,5-6,127
Taylor Hilton,,11/16/1985,,,
Taylor J,,11/3/1978,,,
Taylor Jane,,9/21/1973,,,
Taylor Jolie,,,,,
Taylor Jones,34-26-46,,,5-2,
Taylor Kennedy,,,,,
Taylor Kiss,34C-25-36,8/24/1986,,5-9,115
Taylor Knight,,6/1/1969,,,
Taylor Kross,,,,,
Taylor Kurtis,36D-26-36,11/1/1981,Blonde,5-6,121
Taylor Lawe,,,,,
Taylor Layne,,,,,
Taylor Little,,,,,
Taylor Luxx,32A-22-31,9/5/1991,,5-2,99
Taylor Lynn,34C-25-35,1/5/1976,Blonde,5-6,118
Taylor Mae,,,,,
Taylor Marie,,3/19/1980,,,
Taylor Mayde,33B-24-34,7/22/1977,,5-11,126
Taylor Michelle,,7/19/1995,,,
Taylor Moore,,5/6/1981,,,
Taylor Morgan,No data,8/3/1977,Blonde,5-5,No data
Taylor Nix,34B-26-34,,,5-9,121
Taylor Rae,,12/4/1972,,,
Taylor Rain,,,,,
Taylor Ray,,,,,
Taylor Reed,,6/10/1996,,,
Taylor Rose,,,,,
Taylor Russo,32B-23-34,,,5-4,115
Taylor Sands,,12/18/1992,,,
Taylor Shay,,,,,
Taylor Slit,,,,,
Taylor St Claire,34DD-26-34,6/1/1969,Brown,5-8,129
Taylor Starr,,2/7/1988,,,
Taylor Steele,36G-30-38,2/24/1988,,5-4,154
Taylor Thomas,,,,,
Taylor Thompson,,12/12/1985,,5-0,141
Taylor Tilden,,4/15/1988,,,
Taylor Vixen,,11/25/1983,,,
Taylor Wane,38DD-23-32,8/27/1968,Blonde,5-2,110
Taylor Whyte,,5/11/1993,,,
Tayna Cruz,,,,,
Tea Jul,,1/24/1988,,,
Teagan Hart,,,,,
Teagan Presley,34B-24-34,7/24/1985,Brown/Blonde,5-1,101
Teagan Summers,,6/30/1990,,,
Teal Conrad,,,,,
Teamuku,,,,,
Teanna Kai,34C-24-34,1/15/1971,Black,5-2,103
Teanna Trump,,8/19/1995,,,
Tease Nightly,,,,,
Tecey Heart,34B-24-36,12/30/1986,,4-6,
Teddi Barret,,,,,
Teddi Barrett,46L-24-36,2/22/1959,,5-7,150
Teddi Holland,33A-25-35,4/14/1982,,5-6,
Teddi Rae,,8/17/1994,,,
Teegan Lee,,,,,
Teena Fine,33B,6/8/1986,Blonde,5-5,116
Teena Lipoldino,,4/28/1991,,,
Teenah Rydell,,,,,
Tegan Jane,34DD-24-38,2/7/1987,,5-4,121
Tegan Mohr,,,,,
Tegan Riley,,3/13/1990,,,
Tegan Tate,34B-23-34,3/11/1991,,4-8,88
Tellula Rose,,11/6/1995,,,
Temptation,No data,No data,Brown,No data,No data
Temptress,36C-23-34,4/18/1977,Brown,5-10,134
Tenaya,,1/22/1990,,,
Tengie Sweet,,,,,
Teoni Azzura,,,,,
Teoni,34C-26-35,7/6/1983,Black/Blonde,5-3,No data
Tequila Jade,,,,,
Tequila Rose,,,,,
Tera Bond,34C-24-32,8/20/1978,Blonde,5-6,110
Tera Cox,42F-32-38,,,5-1,146
Tera Heart,No data,9/13/1968,Brown,No data,No data
Tera Joy,34A-25-36,10/1/1981,Brown,5-2,116
Tera Knightly,,,,,
Tera Lee,,9/1/1989,,,
Tera Leigh,,,,,
Tera Patrick,36D-24-36,7/25/1976,Brown,5-9,121
Tera Wray,,,,,
Teresa Orlowski,No data,7/29/1953,Brown,No data,No data
Tereza D,No data,11/23/1976,Brown,No data,No data
Tereza Fox,35B-24-34,1/11/1981,Light Brown,5-5,110
Tereza Ilova,,,,,
Tereza Jolie,,,,,
Tereza Llova,,,,,
Teri Diver,,9/6/1965,,,
Teri Harrison,,,,,
Teri Starr,,10/16/1976,,,
Teri Weigel,36DD-23-35,2/24/1962,Brown,5-7,118
Terka Angeline,,,,,
Terra Cox,,,,,
Terra Post,,,,,
Terri Belle,No data,No data,No data,No data,No data
Terri Hendrix,,,,,
Terri Jane,,5/1/1989,,,
Terri Starr,,,,,
Terri Summers,34C-25-36,1/16/1976,Brown,5-8,118
Terry Lovely,,,,,
Terry Nova,,,,,
Terry Stephens,,,,,
Terry Thomas,,,,,
Tery Ferrari,,,,,
Tess Lyndon,,5/3/1990,,,
Tess Morgan,32A-24-36,1/7/1993,,5-4,119
Tess Newheart,,,,,
Tessa Arias,33A-22-33,,,5-4,99
Tessa Lane,,9/8/1988,,,
Tessa Taylor,,,,,
Tessa Thrills,,10/1/1992,,,
Tessa West,,6/13/1982,,,
Texas Presley,34DD-22-36,7/22/1981,Brown,5-8,125
Tha Wizard,,,,,
Thaina Perez,34C-30-34,,,5-4,128
Thainee,,,,,
Thaiza Lemmon,32C-25-36,,,5-0,117
Thalia Festiny,,4/5/1983,,,
Thalia Tate,,,,,
Thalia,35C-24-35,4/5/1983,Black/Dark Brown,5-11,123
Thays Schiavinato,,,,,
The Milton Twins,,,,,
The Red Fox,,,,,
The Twins,,,,,
Thea Marie,,,,,
Themis Thunder,44F-29-40,4/6/1991,,5-0,
Thena Sky,,,,,
Thi Michelle,,,,,
Thomas Zupko,,,,,
Thunder Kat,,,,,
Ti Sato,,,,,
Tia Bella,36-25-35,12/25/1973,Brown,5-4,114
Tia Brazil,,,,,
Tia Brodie,30C-26-33,,,5-2,110
Tia Cherry,,,,,
Tia Cyrus,,10/30/1990,,,
Tia Freaxx,,,,,
Tia Gunn,34K-24-36,7/3/1960,,5-1,121
Tia Lang,,,,,
Tia Layne,,3/8/1982,,,
Tia Ling,34C-24-33,7/10/1974,Brown,5-1,110
Tia Lydia,,,,,
Tia Maria,,,,,
Tia Marie,,,,,
Tia Mckenzie,,,,,
Tia Monae,34C-28-38,,,5-7,123
Tia Son,,2/6/1970,,,
Tia Suvari,,,,,
Tia Sweets,34B-28-32,10/22/1980,Brown,5-1,114
Tia Tanaka,34B-23-35,3/15/1987,Brown,5-2,99
Tia Thomas,,,,,
Tia Topaz,,,,,
Tiana Lynn,34C-26-32,9/1/1983,Blonde/Red,5-2,114
Tiana Rose,,,,,
Tianna Love,36C-25-36,6/15/1985,,5-4,
Tianna Soo,,,,,
Tianna Taylor,34C-26-32,????-03-08,Red,5-8,118
Tianna,34B-24-35,11/30/1963,Blonde,5-2,No data
Tierra Quinn,38C-24-34,,,5-2,115
Tiff Bannister,,9/14/1992,,,
Tiffani DiGivanni,38DD-24-34,1/26/1986,Blonde,5-6,107
Tiffani Rox,34C-27-34,8/4/1986,,5-5,121
Tiffani Taylor,,10/29/1990,,,
Tiffanie Redmond,,,,,
Tiffanny Love,,,,,
Tiffany Ann,,,,,
Tiffany Blake,,9/25/1979,,,
Tiffany Brookes,34C-24-34,3/14/1989,Brown,5-8,121
Tiffany Cane,34DD-27-36,,,5-10,135
Tiffany Carter,34B-26-32,,,5-5,123
Tiffany Clark,No data,3/18/1961,Brown,No data,No data
Tiffany Collins,,,,,
Tiffany Cox,,,,,
Tiffany Cross,34D-25-35,,,5-11,115
Tiffany Dawn,,,,,
Tiffany Diamond,34B-24-34,9/15/1980,Blonde,5-4,112
Tiffany Digiuanni,,1/26/1986,,,
Tiffany Doll,,5/20/1986,,,
Tiffany Fallon,,,,,
Tiffany Flowers,32A-26-34,,,5-11,95
Tiffany Fox,,3/14/1992,,,
Tiffany Gold,,9/15/1980,,,
Tiffany Haze,34B-25-35,6/14/1990,,5-6,99
Tiffany Holiday,34C-24-35,1/15/1986,Brown/Blonde,5-6,No data
Tiffany Hopkins,34B-25-34,6/28/1981,Black,5-3,99
Tiffany Kingston,,,,,
Tiffany Kohl,34B-29-35,11/16/1992,,5-7,123
Tiffany Lang,,,,,
Tiffany Leigh,,,,,
Tiffany Logan,,,,,
Tiffany Love,,,,,
Tiffany Martin,,,,,
Tiffany Mason,34B-23-34,1/20/1982,Brown,6-1,121
Tiffany Meadows,,,,,
Tiffany Merlot,,,,,
Tiffany Million,37-26-34,4/6/1966,Blonde,5-5,127
Tiffany Mynx,34D-23-36,10/10/1971,Brown/Blonde/Red,5-3,107
Tiffany Naylor,,,,,
Tiffany Paige,,6/30/1993,,,
Tiffany Preston,,,,,
Tiffany Price,No data,No data,Blonde,No data,No data
Tiffany Rayne,36B-24-34,5/21/1985,Dirty Blonde/Dark Brown,5-6,125
Tiffany Rose,No data,No data,Black,5-7,No data
Tiffany Rouge,,,,,
Tiffany Rousso,36B-25-37,1/29/1985,Blonde,5-6,121
Tiffany Selby,,,,,
Tiffany Sight,,,,,
Tiffany Silk,,,,,
Tiffany Six,36A-25-35,2/5/1987,Brown/Blonde,5-3,No data
Tiffany Sloan,,,,,
Tiffany Smokes,,,,,
Tiffany Stacks,,,,,
Tiffany Star,,7/18/1991,,,
Tiffany Storm,36D-24-34,10/16/1962,Black,No data,121
Tiffany Summers,,,,,
Tiffany Sweet,,5/15/1984,,,
Tiffany Tailor,34C-25-35,3/17/1991,,5-10,115
Tiffany Taylor,34B-25-34,12/6/1980,Brown,5-4,110
Tiffany Tease,,,,,
Tiffany Thomas,32B-25-34,,,5-2,117
